Area or Hotel,Loop,Loop Total Length,Loop Notes,Track Number,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disneyland Hotel,Fantasy Tower Lobby v.4,,,16,Enchanted Suite ,,Enchanted Motion Picture Soundtrack,04:28,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,17,March of the Cards,,,02:17,Extended cut of the same version that appeared on the Walt Disney World Forever system.,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,18,The Caucus Race,,,02:13,Extended cut of the same version that appeared on the Walt Disney World Forever system.,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,19,Once Upon a Dream,,Disney Strings Fantasy,03:01,Crossfades into next track,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,20,Bibbidy Bobbidy Boo,City of Prague Philharmonic Orchestra,Symphonic Magic,02:45,,,,,"December 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby v.4,,,21,You Can Fly,,Imagineering the Dream (?),,"Mostly from the Tokyo Disneyland Imagineering the Dream album -- but, it has a harp/woodwind ""flourish"" at the beginning of the track that is NOT found on the album. It can be found, though, on some of the Peter Pan ridethrough mixes (as is often used as a transition between the London scenes with lyrics, to the Never Land scene without.)",,,,"December 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",?,Compiled by pixelated and others (MouseBits; 2011),1,Heigh Ho,,Disney's Orchestral Collection Vol. 1 ,,Starts at 0:51.499 of the album version,8,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,2,Who's Afraid of the Big Bad Wolf?,,Disney's Orchestral Collection Vol. 1 ,,Starts at 1:02.307 of the album version,10,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,3,So This is Love,,Disney's Orchestral Collection Vol. 1 ,,Starts at 1:40.431 of the album version and stops at 3:42.268 to cut-off the last 11 seconds.,11,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,4,Be Our Guest,,Disney's Orchestral Collection Vol. 1 ,,Starts at 0:20.433 of the album version,14,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,5,Spoonful of Sugar,,Disney's Orchestral Collection Vol. 1 ,,,15,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,6,Zip A Dee Doo Dah v.1 (Attraction Version),,Disneyland Forever,3:58,From the Splash Mountain/Critter Country BGM and plays right after the main drop on the attraction.,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,7,Songs from Winnie the Pooh,Walt Disney World Band,Walt Disney World Band,,Edited to include 1:59 - end,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,8,March of the Cards,,,,"Appears to be the version used in the Disneyland, Magic Kingdom, DLP Esplanade loops",,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,9,Songs from Winnie the Pooh,Walt Disney World Band,Walt Disney World Band,,Edited to include 1:02 - 1:58,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,10,No Particular Place To Go/Minnie's Yoo-Hoo Medley,,Magical Express,,"Tracks are from the WDW Magical Express, also found on the Channel 36 Resort TV audio: http://www.mousebits.com/index.php?page=torrent-details&id=90f2b61e403a7ff7584f5e2cb0bb095b70958402",,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,11,Whistle While You Work,,Magical Express,,,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,12,Bibbidi-Bobbidi-Boo,,Magical Express,,,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,13,Alice in Wonderland,,Magical Express,,Medley with previous track,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,14,Mickey Mouse Club March,,Magical Express,,,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,15,It's A Small World,,Magical Express,,Medley with previous track,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,16,When You Wish Upon a Star,,Magical Express,,,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,17,Zip-A-Dee-Doo-Dah v.2,,,,Unknown source,,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,18,Casey Jr,,Disney's Orchestral Collection Vol. 3,,,9,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,19,Under the Sea,,Disney's Orchestral Collection Vol. 3,,,10,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,20,Following the Leader,,Disney's Orchestral Collection Vol. 3,,,12,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,21,Saludos Amigos,,Disney's Orchestral Collection Vol. 3,,Edited to include 00.24 - 03.30,14,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Fantasy Tower Lobby v.2, Goofy's Kitchen",,,22,Supercalifragilisticexpialidocious,,Disney's Orchestral Collection Vol. 3,,,15,,,"January 1, 2011 → November 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",01:05:26,Compiled by C33 (Mousebits; 2012). Dates are for when it played in Fantasy Tower. It may have stopped playing in Goofy’s Kitchen by November 2014.,1,"Hiccups/Firewater/Bubbles/Did You See
  That?/Pink Elephants On Parade/Up a Tree/The Fall/Timothy's Theory",,Dumbo OST,,Track is a combination of two tracks from the Dumbo soundtrack: 1) Hiccups/Firewater/Bubbles/Did You See That?/Pink Elephants On Parade [04.05 - End] 2) Up a Tree/The Fall/Timothy's Theory [00.00 - 00.21],,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,2,Philharmagic Medley,,Tokyo Disneyland Philharmagic Soundtrack,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,3,Whistle While You Work,,"Disney's Orchestral Collection, Vol. 3",,edited to include 00:19 - End,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,4,Fantasmic! Exit Music,,Fantasmic! OST,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,5,Colonel Hathi's March,London Pops,The Animated Classics,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,6,Give a Little Whistle/When You Wish Upon a Star,,,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,7,Mickey Mouse March,Boston Pops Orchestra,Evening at Pops,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,8,Steamboat Willie,,Une Journee a Disneyland Paris,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,9,Zip-A-Dee-Doo-Dah,Boston Pops Orchestra,Stars and Stripes,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,10,Following the Leader,,Disney's Orchestra Collection,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,11,Mickey Mouse March,,Walt Disney World Band,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,12,Cinderellabration Parade,,"Tokyo Disneyland ""Treasures of Fantasy"" box set",,,2,10,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,13,Snow White and the Seven Dwarf's Fantasy,Boston Pops,Salute to Disney,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,14,Casey Jr./Mickey Mouse Club March/You Can Fly! You Can Fly! You Can Fly,,http://www.amazon.com/Tokyo-Disneyland-Music-Album-Disney/dp/B00005L9FG/,,This is the Mickey Mouse Revue Load / Unload track. Edited to include 00.00 - 02.34,3,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,15,Alice in Wonderland Medley,,,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,16,There's a Great Big Beautiful Tomorrow,,Walt Disney and the 1964 World's Fair,4:44,,1,1,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,17,Minnie's Yoo Hoo,,,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,18,Hi Diddle Dee Dee,,"Disney's Orchestra Collection, Vol. 2",,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,19,Mickey Mouse March,,"Disney's Orchestra Collection, Vol. 2",,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,20,Who's Afraid of the Big Bad Wolf,,,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Travelport/Valet, Fantasy Tower Lobby v.3",,,21,Mary Poppins Medley,Boston Pops Orchestra,Salute to Disney,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,Steakhouse 55,,Compiled by kkocka using a 2019 reference recording (MouseBits; 2019),1,Claude,Howard Rumsey’s Lighthouse All-Stars,In the Solo Spotlight!,5:53,Available on SoulSeek,,,,,
Disneyland Hotel,Steakhouse 55,,,2,When You Wish Upon a Star,Gene Harris,Brotherhood (or Ballad Essentials: Gene Harris),,,,,,,
Disneyland Hotel,Steakhouse 55,,,3,Progress is the Root of All Evil,Shelly Manne,Li’l Abner,,,,,,,
Disneyland Hotel,Steakhouse 55,,,4,Strange Meadow Lark,The Dave Brubeck Quartet,Time Out,,,,,,,
Disneyland Hotel,Steakhouse 55,,,5,Give a Little Whistle,The Dave Brubeck Quartet,Dave Digs Disney,,,,,,,
Disneyland Hotel,Steakhouse 55,,,6,Moonlight Becomes You,Chet Baker,My Funny Valentine,,,,,,,
Disneyland Hotel,Steakhouse 55,,,7,Sweet Lorraine,Chet Baker,My Funny Valentine,,"May not be in the playlist, unsure",,,,,
Disneyland Hotel,Steakhouse 55,,,8,Funny Frank,Howard Rumsey’s Lighthouse All-Stars,In the Solo Spotlight!,,Available on SoulSeek,,,,,
Disneyland Hotel,Steakhouse 55,,,9,If You Are There,Howard Rumsey’s Lighthouse All-Stars,In the Solo Spotlight!,,Available on SoulSeek,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,Based on a visit by monorail91 on 1/22/18 and posted on Magic Music (2018).,1,Kiss the Girl,Colbie Calliat,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,2,He Lives in You,Elijah Kelley,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,3,So This is Love,The Cheetah Girls,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,4,The Second Star to the Right,T-Squad,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,5,Colors of The Wind,Vanessa Hudgens,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,6,A Dream is a Wish Your Heart Makes,Disney Channel Stars,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,7,You’ll Be in My Heart,Teddy Geiger,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,8,Hakuna Matata,Baha Men,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,9,Part of Your World,Jessica Simpson,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,10,Unknown,,,,"“Couldn't make it out, but SoundHound said it was something from the Disney Ambassador Hotel album”",,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,11,"Beauty and the Beast ",Jump5,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,12,It's a Small World [RapMania! Mix] [Pop Version],Fan_3,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,13,"""Under the Sea",Mark Lennon,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,14,Somewday,Donna Summer,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,15,When You Wish Upon A Star,Kate Voegele,,,,,,,,
Disneyland Hotel,Blue Sky Suite,,Identified by kkocka (MouseBits; 2016),1,Music to Buy Toasters By (Medallion City),,Walt Disney and the 1964 World's Fair,,The end of the track loops to an unknown point in the track,8,1,Walt Disney Records,,
Disneyland Hotel,Trader Sam's Holiday [REF],~1:57:38,"Compiled by kkocka and others on MouseBits (2013). Loop track lengths should be mostly accurate, which indicates that some edits are present. Verified by C33 on Magic Music (2017))",1,Polynesian Village Love Theme,The Tikiyaki Orchestra,"Aloha, Baby!",1:58,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,2,Blue Christmas,Jerry Byrd,Christmas in Hawaii,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,3,"Black Sand, Blue Sea",The Tikiyaki Orchestra,Stereoexotique,3:34,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,4,Jungle Bells,The Blue Hawaiians,Christmas on Big Island,2:57,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,5,Mele Kalikimaka,Jerry Byrd,Christmas in Hawaii,1:55,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,6,When First I Love,Martin Denny,Exotica! The Best of Martin Denny,2:25,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,7,Silent Night,Genoa Keawe,Santa's Gone Hawaiian,3:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,8,We Wish You a Merry Christmas,The Ventures,The Ventures' Christmas Album,1:09,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,9,Love Dance,Martin Denny,Exotica! The Best of Martin Denny,2:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,10,What Child Is This?,Jerry Byrd,Christmas in Hawaii,2:22,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,11,Have Yourself a Quiet Little Christmas,The Blue Hawaiians,Christmas on Big Island,4:12,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,12,Winter Wonderland,Jerry Byrd,Christmas in Hawaii,3:24,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,13,La Hula Rhumba,The Tikiyaki Orchestra,"Aloha, Baby!",2:51,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,14,Frosty the Snowman,The Ventures,The Ventures' Christmas Album,2:03,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,15,Martinique,Martin Denny,Exotica! The Best of Martin Denny,2:38,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,16,Away in a Manger,Jerry Byrd,Christmas in Hawaii,1:46,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,17,The Christmas Song,Los Straitjackets,'Tis the Season for Los Straitjackets,3:10,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,18,Jingle Bell Rock,Ozzie Kotani,Hawaiian Slack Key Christmas,2:59,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,19,Mele Kalikimaka,Arthur Godfrey & All The Little Godfreys,Christmas with Arthur Godfrey,1:32,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,20,Christmas Time is Here,The Blue Hawaiians,Christmas on Big Island,3:46,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,21,Oasis of Dakhla,Les Baxter,Exotic Moods of Les Baxter,3:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,22,Christmas Island,Jerry Byrd,Christmas in Hawaii,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,23,Hawai'i Nocturne,The Tikiyaki Orchestra,"Aloha, Baby!",3:15,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,24,White Christmas,The Blue Hawaiians,Christmas on Big Island,3:28,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,25,Christmas in Hawaii,Jerry Byrd,Christmas in Hawaii,3:07,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,26,In Search of Mei Ting,The Tikiyaki Orchestra,"Aloha, Baby!",4:05,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,27,Sleigh Ride,The Ventures,The Ventures' Christmas Album,1:37,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,28,Pool of Love,Lex Baxter,The Exotic Moods of Les Baxter,2:04,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,29,Silent Night,Jerry Byrd,Christmas in Hawaii,2:26,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,30,Jungle Flower,Martin Denny,Exotica! The Best of Martin Denny,1:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,31,Blue Christmas,The Blue Hawaiians,Christmas on Big Island,3:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,32,Rudolph the Red Nosed Reindeer,Arthur Lyman,With a Christmas Vibe,1:14,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,33,Exotic Night,Martin Denny,Christmas Cocktails Part Two,2:16,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,34,Jingle Bells,Genoa Keawe,Santa's Gone Hawaiian,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,35,Lahaina Morning Rain,The Tikiyaki Orchestra,"Aloha, Baby!",2:15,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,36,Silver Bells,Jerry Byrd,Christmas in Hawaii,2:27,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,37,Enchanted Xmas,The Blue Hawaiians,Christmas on Big Island,2:59,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,38,Santa Claus is Comin' to Town,The Ventures,The Ventures' Christmas Album,2:06,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,39,White Christmas,Jerry Byrd,Christmas in Hawaii,2:47,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,40,Tiki Diva,Kenny Sasaki and the Tiki Boys,Tiki Moon,4:51,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,41,Christmas Island,The Dinning Sisters & Bob Atcher,Christmas Cocktails Part Two,2:25,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,42,We Four Kings (Little Drummer Boy),The Blue Hawaiians,Christmas on Big Island,3:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,43,Auld Lang Syne,Cyril Pahinui & Bob Brozman,Hawaiian Slack Key Christmas,3:00,,,,,"November 1, 2011",
Disneyland Hotel,Fantasy Tower Lobby Holiday,00:34:56.973,"Preliminary listing, see MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg42128#msg42128 (2010) and https://mousebits.com/smf/index.php?topic=8247.msg77610#msg77610 (2013). Begins with 1.61 sec. silent gap. Played 2010 and 2013 at least. Individual track lengths are measured from the start of that track to the start of the following track, so any gap between tracks is included in that time.",1,Sleigh Ride,Arthur Fiedler & the Boston Pops Orchestra,Christmas for the 90s , 2:57.053,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,2,Deck the Halls with Boughs of Holly,Percy Faith & His Orchestra,Music of Christmas , 2:49.435,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,3,Rudolph the Red-Nosed Reindeer,Arthur Fiedler & the Boston Pops Orchestra,A Christmas Festival , 2:08.290,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,4,White Christmas,The Eden Symphony Orchestra,Classical Christmas , 2:38.717,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,5,Frosty the Snowman,101 Strings Orchestra,Christmas With The 101 Strings Orchestra , 2:35.134,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,6,Jingle Bells,Mantovani & His Orchestra & Sammes Chorus And Singers,The Ultimate Relaxation Christmas Album II , 1:52.068,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,7,Let It Snow,101 Strings Orchestra,Christmas With The 101 Strings Orchestra , 2:02.772,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,8,The Christmas Waltz,Ronnie Aldrich,Christmas with Ronnie Aldrich , 2:29.313,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,9,Silver Bells,Eugene Ormandy & the Philadelphia Orchestra,Joy to the World , 3:14.739,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,10,Santa Claus is Coming to Town,Arthur Fiedler & the Boston Pops Orchestra,A Christmas Festival , 2:35.645,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,11,The Christmas Song (Chestnuts Roasting On An Open Fire),Doc Severinsen,Merry Christmas from Doc Severinsen and The Tonight Show Orchestra , 3:58.028,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,12,The Twelve Days of Christmas,Philadelphia Brass Ensemble,A Festival of Carols in Brass , 3:43.466,,,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,13,Carol of the Bells,"Leonard Bernstein, New York Philharmonic",The Joy of Christmas, 0:51.656,"Edit points http://www.mediafire.com/download/yq1e6wahy862ov2/Disneyland_Hotel_Fantasy_Tower_holiday_loop_-_Carol_of_the_Bells_edits.flac. The album track has been edited to remove the audio between 00:00:28.909 and 00:00:39.399. In the loop track, that edit sounds like it starts with french horns but in the album track, the brass sounds more like trumpets. The loop track stops at 00:01:02.456 of the album track.",,,,,Christmas
Disneyland Hotel,Fantasy Tower Lobby Holiday,,,14,We Wish You A Merry Christmas,Philadelphia Brass Ensemble,A Festival of Carols in Brass , 1:00.650,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",00:38:35.087,"Compiled by Pixelated (2017; MouseBits). Plays in the DTD area from 5AM to 8PM. Also played in the Esplanade for Christmas 2018 (possibly other years, but unverified).",1,It's The Most Wonderful Time Of The Year,Andy Williams,The Most Wonderful Time Of The Year,00:02:28.442,Loop starts silent gap of 1.623 secs.,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,2,Jingle Bells,Frank Sinatra,The Christmas Album,00:01:58.483,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,3,Here Comes Santa Claus (Right Down Santa Claus Lane),"The Andrews Sisters, Bing Crosby",Christmas,00:03:00.715,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,4,Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas,00:02:54.459,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,5,White Christmas,"The Drifters, Bill Pinckney, Clyde McPhatter",Clyde McPhatter & The Drifters,00:02:36.988,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,6,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Coccole di Natale,00:01:53.905,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,7,Rudolph the Red-Nosed Reindeer (feat. Videocraft Chorus) [Finale],Burl Ives,Rudolph The Red-Nosed Reindeer,00:01:12.101,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,8,Deck the Halls,Nat King Cole,Merry Christmas From Nat King Cole,00:01:04.635,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,9,I Wish You A Merry Christmas,Bing Crosby,Bing Crosby's Christmas Classics,00:01:51.398,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,10,Happy Holiday/The Holiday Season,Andy Williams,The Andy Williams Christmas Album,00:02:34.718,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,11,Have Yourself a Merry Little Christmas,Ella Fitzgerald,Ella Wishes You A Swinging Christmas,00:02:53.800,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,12,Frosty The Snowman,Guy Lombardo & His Royal Canadians,White Christmas [Volume 4],00:02:31.406,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,13,Santa Claus Is Comin' to Town,Frank Sinatra,Christmas With Sinatra And Friends,00:02:32.931,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,14,A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,00:02:11.209,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,15,A Marshmallow World,Dean Martin,Making Spirits Bright,00:02:43.228,,,,,,Christmas
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,16,Winter Wonderland,Peggy Lee,Christmas With Peggy Lee,00:01:51.457,,,,,,Christmas
